cue_word,association_word,cue_valence,associated_valence,weight
ai,adaptive,0.0,-1,1
ai,adaptive,1.0,-1,2
ai,advance,-1.0,0,1
ai,advance,0.0,0,2
ai,advanced,-1.0,-1,1
ai,advanced,-1.0,0,3
ai,advanced,-1.0,1,1
ai,advanced,0.0,-1,3
ai,advanced,0.0,0,28
ai,advanced,0.0,1,3
ai,advanced,1.0,0,4
ai,advanced,1.0,1,2
ai,advancement,0.0,0,2
ai,algorithm,-1.0,-1,2
ai,algorithm,-1.0,0,2
ai,algorithm,0.0,-1,4
ai,algorithm,0.0,0,30
ai,algorithm,0.0,1,5
ai,algorithm,1.0,-1,1
ai,algorithm,1.0,0,11
ai,algorithm,1.0,1,4
ai,algorithmic,-1.0,-1,1
ai,algorithmic,0.0,-1,2
ai,algorithmic,0.0,0,1
ai,application,0.0,0,1
ai,artificial,-1.0,-1,1
ai,artificial,0.0,-1,1
ai,artificial,0.0,0,5
ai,artificial,0.0,1,2
ai,artificial,1.0,-1,2
ai,artificial,1.0,0,14
ai,artificial,1.0,1,6
ai,artificial - intelligence,0.0,0,1
ai,artificial brain,0.0,-1,1
ai,artificial brain,0.0,0,1
ai,artificial brain,1.0,0,1
ai,artificial intelligence,-1.0,-1,5
ai,artificial intelligence,-1.0,0,16
ai,artificial intelligence,-1.0,1,7
ai,artificial intelligence,0.0,-1,5
ai,artificial intelligence,0.0,0,111
ai,artificial intelligence,0.0,1,30
ai,artificial intelligence,1.0,0,43
ai,artificial intelligence,1.0,1,96
ai,artificial mind,0.0,0,1
ai,assistant,-1.0,-1,1
ai,assistant,1.0,1,1
ai,automate,0.0,0,1
ai,automation,-1.0,-1,48
ai,automation,-1.0,0,28
ai,automation,-1.0,1,3
ai,automation,0.0,-1,225
ai,automation,0.0,0,248
ai,automation,0.0,1,9
ai,automation,1.0,-1,87
ai,automation,1.0,0,190
ai,automation,1.0,1,5
ai,autonomous,1.0,0,1
ai,bot,0.0,0,1
ai,chatgpt,0.0,-1,1
ai,chatgpt,0.0,0,2
ai,chatgpt,0.0,1,2
ai,chatgpt,1.0,0,5
ai,chatgpt,1.0,1,2
ai,classroom,0.0,-1,1
ai,cognitive system,1.0,-1,1
ai,complex,-1.0,-1,1
ai,complex,0.0,-1,2
ai,computation,0.0,-1,1
ai,computation,0.0,0,2
ai,computation,0.0,1,1
ai,computation,1.0,0,3
ai,computation,1.0,1,1
ai,computational,0.0,-1,1
ai,computational,0.0,0,3
ai,computational intelligence,-1.0,-1,2
ai,computational intelligence,0.0,-1,2
ai,computational intelligence,0.0,0,2
ai,computational intelligence,1.0,1,2
ai,computational system,1.0,0,1
ai,compute,-1.0,-1,1
ai,compute,0.0,0,6
ai,compute,1.0,0,1
ai,computer,0.0,-1,1
ai,computer,0.0,0,1
ai,concern,-1.0,-1,1
ai,concern,0.0,-1,2
ai,creativity,1.0,0,1
ai,creativity,1.0,1,1
ai,data - drive,-1.0,-1,1
ai,data - drive,0.0,-1,1
ai,data analysis,-1.0,-1,1
ai,data analysis,0.0,0,2
ai,data science,0.0,0,2
ai,data science,1.0,0,1
ai,datum,-1.0,0,1
ai,datum,0.0,-1,10
ai,datum,0.0,0,8
ai,datum,1.0,0,1
ai,datum,1.0,1,1
ai,deep learning,0.0,-1,2
ai,deep learning,0.0,0,7
ai,deep learning,1.0,-1,2
ai,deep learning,1.0,0,7
ai,deep learning,1.0,1,1
ai,disruptive,-1.0,-1,1
ai,disruptive,0.0,-1,2
ai,efficiency,0.0,0,1
ai,efficient,-1.0,0,2
ai,efficient,0.0,-1,7
ai,efficient,0.0,0,12
ai,efficient,1.0,0,3
ai,ethic,-1.0,-1,1
ai,ethic,0.0,-1,2
ai,ethical,-1.0,-1,1
ai,ethical,0.0,-1,1
ai,fear,0.0,-1,1
ai,future,-1.0,0,8
ai,future,-1.0,1,1
ai,future,0.0,-1,6
ai,future,0.0,0,51
ai,future,0.0,1,19
ai,future,1.0,-1,2
ai,future,1.0,0,11
ai,future,1.0,1,8
ai,future - orient,-1.0,1,1
ai,future - orient,0.0,-1,3
ai,future - orient,0.0,1,1
ai,future - orient,1.0,0,1
ai,future tech,1.0,0,1
ai,futuristic,0.0,-1,1
ai,futuristic,0.0,0,1
ai,impact,0.0,0,1
ai,impact,1.0,0,1
ai,informatic,0.0,0,2
ai,informatic,1.0,-1,3
ai,innovation,-1.0,0,8
ai,innovation,-1.0,1,1
ai,innovation,0.0,-1,4
ai,innovation,0.0,0,71
ai,innovation,0.0,1,34
ai,innovation,1.0,-1,1
ai,innovation,1.0,0,26
ai,innovation,1.0,1,8
ai,innovative,-1.0,0,2
ai,innovative,0.0,-1,2
ai,innovative,0.0,0,10
ai,innovative,0.0,1,4
ai,innovative,1.0,-1,1
ai,innovative,1.0,0,3
ai,intelligence,-1.0,-1,18
ai,intelligence,-1.0,0,49
ai,intelligence,-1.0,1,7
ai,intelligence,0.0,-1,57
ai,intelligence,0.0,0,480
ai,intelligence,0.0,1,86
ai,intelligence,1.0,-1,22
ai,intelligence,1.0,0,225
ai,intelligence,1.0,1,93
ai,intelligent,-1.0,-1,2
ai,intelligent,-1.0,0,12
ai,intelligent,-1.0,1,1
ai,intelligent,0.0,-1,7
ai,intelligent,0.0,0,76
ai,intelligent,0.0,1,36
ai,intelligent,1.0,-1,1
ai,intelligent,1.0,0,13
ai,intelligent,1.0,1,7
ai,intelligent - system,1.0,0,1
ai,intelligent system,-1.0,0,1
ai,intelligent system,0.0,-1,1
ai,intelligent system,0.0,0,9
ai,intelligent system,0.0,1,1
ai,intelligent system,1.0,-1,2
ai,intelligent system,1.0,0,4
