cue_word,association_word,cue_valence,associated_valence,weight
ai,advance,0,1,1
ai,anxiety,-1,-1,1
ai,application,-1,0,1
ai,artificial,0,-1,3
ai,artificial,1,-1,1
ai,assistance,0,0,2
ai,assistance,0,1,1
ai,assistant,0,0,1
ai,automation,-1,-1,12
ai,automation,0,-1,65
ai,automation,0,0,50
ai,automation,1,0,1
ai,challenge,0,-1,2
ai,challenge,0,0,3
ai,change,-1,-1,2
ai,change,0,-1,11
ai,change,0,0,23
ai,chatbot,0,0,3
ai,chatbot,1,0,1
ai,chatgpt,-1,0,1
ai,chatgpt,0,0,50
ai,chatgpt,0,1,15
ai,chatgpt,1,0,2
ai,chatgpt,1,1,6
ai,cod,0,0,2
ai,cod,1,0,1
ai,cod,1,1,1
ai,code,0,0,1
ai,complex,0,-1,6
ai,complex,0,0,1
ai,complex,1,0,2
ai,complexity,0,-1,3
ai,complexity,0,0,3
ai,complicated,0,-1,1
ai,computation,-1,-1,1
ai,computation,0,0,2
ai,computation,1,-1,1
ai,computer,0,0,1
ai,concern,-1,-1,1
ai,concern,0,-1,10
ai,concern,0,0,1
ai,curious,0,0,1
ai,curious,1,1,1
ai,danger,-1,-1,1
ai,danger,0,-1,1
ai,datum,-1,-1,1
ai,datum,-1,0,2
ai,datum,0,0,25
ai,datum,1,0,1
ai,efficiency,0,0,6
ai,efficiency,0,1,3
ai,efficiency,1,1,1
ai,efficient,0,0,4
ai,efficient,0,1,6
ai,efficient,1,1,2
ai,ethic,-1,-1,8
ai,ethic,0,-1,36
ai,ethic,0,0,83
ai,ethic,1,-1,2
ai,ethic,1,0,9
ai,ethic,1,1,1
ai,fear,-1,-1,20
ai,fear,0,-1,67
ai,fear,0,0,1
ai,fear,1,-1,5
ai,fear,1,0,1
ai,future,-1,-1,23
ai,future,-1,0,162
ai,future,-1,1,6
ai,future,0,-1,25
ai,future,0,0,1315
ai,future,0,1,242
ai,future,1,0,62
ai,future,1,1,74
ai,futuristic,0,0,1
ai,hard,-1,-1,1
ai,help,0,0,2
ai,help,0,1,8
ai,help,1,1,4
ai,helpful,0,1,1
ai,innovation,-1,0,1
ai,innovation,-1,1,2
ai,innovation,0,0,30
ai,innovation,0,1,73
ai,innovation,1,1,5
ai,innovative,-1,0,1
ai,intelligence,-1,0,1
ai,intelligence,-1,1,8
ai,intelligence,0,0,18
ai,intelligence,0,1,79
ai,intelligence,1,1,9
ai,intelligent,0,1,3
ai,interest,0,1,1
ai,interest,1,1,2
ai,job,-1,0,3
ai,job,-1,1,1
ai,job,0,-1,9
ai,job,0,0,8
ai,job,1,-1,1
ai,job,1,0,3
ai,learn,-1,0,5
ai,learn,-1,1,4
ai,learn,0,0,125
ai,learn,0,1,27
ai,learn,1,-1,1
ai,learn,1,0,9
ai,learn,1,1,6
ai,llm,0,-1,2
ai,llm,0,0,11
ai,llm,0,1,1
ai,llm,1,0,1
ai,llm,1,1,1
ai,logic,0,0,1
ai,machine,-1,-1,27
ai,machine,0,-1,94
ai,machine,0,0,141
ai,machine,1,-1,2
ai,machine,1,0,10
ai,model,1,0,1
ai,mystery,-1,-1,1
ai,mystery,0,-1,2
ai,opportunity,0,0,1
ai,potential,1,1,1
ai,powerful,0,0,1
ai,progress,0,0,1
ai,question,0,0,1
ai,questionable,0,-1,1
ai,replace,0,-1,2
ai,replacement,-1,-1,1
ai,revolution,0,0,1
ai,revolution,1,1,1
ai,risk,-1,-1,1
ai,risk,0,-1,10
ai,robot,-1,-1,24
ai,robot,-1,0,2
ai,robot,0,-1,108
ai,robot,0,0,138
ai,robot,1,-1,5
ai,robot,1,0,31
ai,robot,1,1,1
ai,robotic,-1,-1,13
ai,robotic,-1,0,2
ai,robotic,0,-1,34
ai,robotic,0,0,55
ai,robotic,1,-1,2
ai,robotic,1,0,8
ai,scary,0,-1,1
ai,smart,-1,0,1
ai,smart,-1,1,3
ai,smart,0,0,9
ai,smart,0,1,28
ai,smart,1,1,8
ai,tech,-1,-1,1
ai,tech,-1,0,2
ai,tech,0,0,27
ai,tech,0,1,9
ai,tech,1,1,3
ai,technique,0,0,1
ai,technology,-1,-1,11
ai,technology,-1,0,145
ai,technology,-1,1,4
ai,technology,0,-1,14
ai,technology,0,0,1194
ai,technology,0,1,152
ai,technology,1,0,17
ai,technology,1,1,88
ai,uncertain,-1,-1,4
ai,uncertain,0,-1,28
ai,uncertainty,-1,-1,35
ai,uncertainty,0,-1,99
ai,uncertainty,0,0,2
ai,uncertainty,1,-1,5
ai,uncertainty,1,0,1
ai,unemployment,0,-1,3
ai,unknown,-1,-1,2
ai,unknown,0,-1,7
ai,unknown,1,0,1
ai,unpredictable,0,-1,1
ai,useful,0,1,1
algorithm,abstract,0,-1,2
algorithm,ai,-1,-1,3
algorithm,ai,-1,0,3
algorithm,ai,0,0,8
algorithm,ai,0,1,1
algorithm,automation,0,-1,1
algorithm,automation,0,0,9
algorithm,bore,-1,-1,1
algorithm,bored,-1,-1,1
algorithm,boredom,0,-1,1
algorithm,challenge,0,0,2
algorithm,cod,-1,-1,35
algorithm,cod,-1,0,5
algorithm,cod,0,-1,5
algorithm,cod,0,0,89
algorithm,cod,0,1,7
algorithm,cod,1,1,5
algorithm,code,-1,-1,298
algorithm,code,-1,0,108
algorithm,code,0,-1,205
algorithm,code,0,0,1008
algorithm,code,0,1,25
algorithm,code,1,0,14
algorithm,code,1,1,15
algorithm,complex,-1,-1,30
algorithm,complex,0,-1,14
algorithm,complex,0,0,1
algorithm,complexity,-1,-1,24
algorithm,complexity,0,-1,44
algorithm,complexity,0,0,3
algorithm,complexity,1,0,2
algorithm,complicated,-1,-1,7
algorithm,complication,-1,-1,1
algorithm,complication,0,-1,1
algorithm,computation,-1,-1,26
algorithm,computation,-1,0,2
algorithm,computation,0,-1,18
algorithm,computation,0,0,61
algorithm,computation,1,0,1
algorithm,compute,-1,-1,1
algorithm,compute,-1,0,2
algorithm,compute,0,-1,2
algorithm,compute,0,0,14
algorithm,computer,-1,-1,40
algorithm,computer,-1,0,20
algorithm,computer,0,-1,4
algorithm,computer,0,0,79
algorithm,computer,0,1,4
algorithm,computer,1,0,2
algorithm,computer,1,1,4
algorithm,confuse,-1,-1,7
algorithm,confuse,0,-1,1
algorithm,confusion,-1,-1,1
algorithm,confusion,0,-1,2
algorithm,datum,-1,-1,8
algorithm,datum,-1,0,7
algorithm,datum,0,-1,10
algorithm,datum,0,0,66
algorithm,datum,1,0,1
algorithm,difficult,-1,-1,5
algorithm,difficulty,-1,-1,2
algorithm,effective,0,0,2
algorithm,effective,0,1,3
algorithm,effective,1,1,1
algorithm,efficiency,-1,0,10
algorithm,efficiency,-1,1,4
algorithm,efficiency,0,-1,1
algorithm,efficiency,0,0,42
algorithm,efficiency,0,1,29
algorithm,efficiency,1,0,3
algorithm,efficiency,1,1,4
algorithm,efficient,-1,1,2
algorithm,efficient,0,0,12
algorithm,efficient,0,1,14
algorithm,efficient,1,1,1
algorithm,frustration,-1,-1,1
algorithm,future,-1,0,1
algorithm,future,0,0,2
algorithm,future,0,1,2
algorithm,future,1,1,1
algorithm,hard,-1,-1,1
algorithm,informatic,-1,-1,4
algorithm,informatic,0,-1,1
algorithm,informatic,0,0,8
algorithm,informatic,0,1,1
algorithm,logic,-1,-1,35
algorithm,logic,-1,0,174
algorithm,logic,-1,1,14
algorithm,logic,0,-1,17
algorithm,logic,0,0,591
algorithm,logic,0,1,68
algorithm,logic,1,-1,1
algorithm,logic,1,0,10
algorithm,logic,1,1,4
algorithm,logical,-1,0,2
algorithm,logical,0,0,9
algorithm,logical,1,1,1
algorithm,machine,-1,-1,1
algorithm,math,-1,-1,79
algorithm,math,-1,0,28
algorithm,math,-1,1,1
algorithm,math,0,-1,64
algorithm,math,0,0,147
algorithm,math,0,1,5
algorithm,math,1,-1,1
algorithm,math,1,0,1
algorithm,math,1,1,1
algorithm,mathematic,-1,-1,5
algorithm,mathematic,-1,0,1
algorithm,mathematic,0,-1,10
algorithm,mathematic,0,0,12
algorithm,mathematic,0,1,1
algorithm,maths,-1,-1,23
algorithm,maths,-1,0,7
algorithm,maths,-1,1,1
algorithm,maths,0,-1,15
algorithm,maths,0,0,35
algorithm,maths,0,1,10
algorithm,maths,1,-1,1
algorithm,maths,1,0,1
algorithm,order,-1,0,1
algorithm,problem,-1,-1,75
algorithm,problem,-1,0,1
algorithm,problem,0,-1,134
algorithm,problem,0,0,28
algorithm,problem,1,-1,3
algorithm,problem - solve,-1,0,1
algorithm,problem - solve,-1,1,2
algorithm,problem - solve,0,0,8
algorithm,problem - solve,0,1,4
algorithm,problem - solve,1,1,1
algorithm,procedure,-1,-1,1
algorithm,procedure,0,0,2
algorithm,process,-1,-1,2
algorithm,process,-1,0,1
algorithm,process,0,-1,2
algorithm,process,0,0,8
algorithm,programming,-1,-1,6
algorithm,programming,0,-1,1
algorithm,programming,0,0,26
algorithm,programming,0,1,1
algorithm,programming,1,1,1
algorithm,puzzle,-1,0,3
algorithm,puzzle,0,-1,1
algorithm,robot,0,-1,1
algorithm,robot,0,1,1
algorithm,rule,-1,-1,2
algorithm,rule,-1,0,2
algorithm,rule,0,-1,2
algorithm,rule,0,0,5
algorithm,science,-1,-1,2
algorithm,science,-1,0,3
algorithm,science,0,0,8
algorithm,science,1,0,1
algorithm,software,-1,0,1
algorithm,solution,-1,-1,1
algorithm,solution,-1,0,150
