cue_word,association_word,cue_valence,associated_valence,weight
ai,algo,-1,-1,1
ai,algo,0,0,1
ai,algorithm,-1,-1,8
ai,algorithm,-1,0,10
ai,algorithm,-1,1,4
ai,algorithm,0,-1,22
ai,algorithm,0,0,32
ai,algorithm,0,1,9
ai,algorithm,1,-1,4
ai,algorithm,1,0,12
ai,algorithm,1,1,5
ai,artificial,0,-1,1
ai,artificial intelligence,-1,-1,1
ai,artificial intelligence,-1,1,1
ai,artificial intelligence,0,0,1
ai,artificial intelligence,1,-1,1
ai,automate,-1,-1,1
ai,automate,-1,0,3
ai,automate,0,-1,1
ai,automate,0,0,4
ai,automation,-1,-1,69
ai,automation,-1,0,13
ai,automation,-1,1,2
ai,automation,0,-1,161
ai,automation,0,0,109
ai,automation,0,1,3
ai,automation,1,-1,12
ai,automation,1,0,44
ai,automaton,-1,0,1
ai,autonomy,-1,-1,1
ai,brain,1,0,1
ai,calculation,1,-1,1
ai,chatgpt,1,1,1
ai,cod,-1,0,3
ai,cod,0,0,1
ai,code,-1,-1,24
ai,code,-1,0,16
ai,code,-1,1,4
ai,code,0,-1,68
ai,code,0,0,81
ai,code,0,1,13
ai,code,1,-1,18
ai,code,1,0,13
ai,code,1,1,9
ai,computation,-1,0,2
ai,computation,-1,1,1
ai,computation,0,1,1
ai,computation,1,0,1
ai,computation,1,1,1
ai,compute,0,-1,1
ai,computer,-1,-1,5
ai,computer,-1,0,5
ai,computer,0,-1,11
ai,computer,0,0,4
ai,computer,0,1,3
ai,computer,1,-1,1
ai,computer,1,0,4
ai,computer,1,1,5
ai,control,-1,-1,1
ai,control,0,-1,1
ai,creativity,0,0,2
ai,creativity,0,1,1
ai,creativity,1,0,1
ai,datum,-1,-1,1
ai,datum,0,0,4
ai,datum,1,0,1
ai,disruption,0,-1,2
ai,ethic,-1,-1,4
ai,ethic,0,-1,8
ai,ethic,0,0,3
ai,ethic,1,-1,6
ai,future,-1,-1,59
ai,future,-1,0,59
ai,future,-1,1,15
ai,future,0,-1,73
ai,future,0,0,192
ai,future,0,1,81
ai,future,1,-1,4
ai,future,1,0,30
ai,future,1,1,28
ai,future - tech,-1,-1,2
ai,future - tech,-1,0,1
ai,future - tech,0,0,1
ai,future tech,-1,-1,1
ai,future tech,0,1,2
ai,futurism,0,0,1
ai,futurism,1,1,1
ai,futurist,-1,0,1
ai,futuristic,-1,-1,1
ai,futuristic,-1,0,1
ai,futuristic,0,1,2
ai,futuristic,1,1,2
ai,helpful,0,1,2
ai,innovation,-1,0,8
ai,innovation,-1,1,8
ai,innovation,0,-1,1
ai,innovation,0,0,19
ai,innovation,0,1,40
ai,innovation,1,0,2
ai,innovation,1,1,9
ai,intel,-1,-1,2
ai,intel,-1,0,2
ai,intel,-1,1,2
ai,intel,0,0,1
ai,intel,0,1,4
ai,intel,1,1,2
ai,intellect,0,-1,1
ai,intellect,0,0,1
ai,intellect,0,1,6
ai,intellect,1,1,3
ai,intelligence,-1,-1,9
ai,intelligence,-1,0,98
ai,intelligence,-1,1,56
ai,intelligence,0,-1,7
ai,intelligence,0,0,108
ai,intelligence,0,1,374
ai,intelligence,1,-1,7
ai,intelligence,1,0,13
ai,intelligence,1,1,119
ai,learn,-1,-1,8
ai,learn,-1,0,53
ai,learn,-1,1,17
ai,learn,0,-1,11
ai,learn,0,0,98
ai,learn,0,1,134
ai,learn,1,-1,1
ai,learn,1,0,27
ai,learn,1,1,65
ai,logic,-1,-1,1
ai,logic,-1,0,2
ai,logic,-1,1,1
ai,logic,0,-1,1
ai,logic,0,0,16
ai,logic,0,1,17
ai,logic,1,0,2
ai,logic,1,1,7
ai,machine,-1,-1,223
ai,machine,-1,0,61
ai,machine,-1,1,3
ai,machine,0,-1,457
ai,machine,0,0,157
ai,machine,0,1,36
ai,machine,1,-1,86
ai,machine,1,0,107
ai,machine,1,1,22
ai,machine learn,-1,-1,2
ai,machine learn,-1,0,4
ai,machine learn,0,-1,2
ai,machine learn,1,0,4
ai,machine learn,1,1,2
ai,mind,-1,1,2
ai,mind,0,0,1
ai,mind,0,1,1
ai,replacement,-1,-1,1
ai,revolution,0,0,1
ai,risk,-1,-1,5
ai,risk,0,-1,6
ai,robot,-1,-1,113
ai,robot,-1,0,14
ai,robot,-1,1,2
ai,robot,0,-1,181
ai,robot,0,0,39
ai,robot,0,1,6
ai,robot,1,-1,28
ai,robot,1,0,21
ai,robot,1,1,3
ai,robotic,-1,-1,18
ai,robotic,-1,0,8
ai,robotic,-1,1,1
ai,robotic,0,-1,21
ai,robotic,0,0,19
ai,robotic,0,1,8
ai,robotic,1,-1,5
ai,robotic,1,0,6
ai,robotic,1,1,2
ai,rule,0,-1,1
ai,smart,-1,0,10
ai,smart,-1,1,1
ai,smart,0,-1,1
ai,smart,0,0,3
ai,smart,0,1,7
ai,smart,1,1,4
ai,smartness,-1,0,1
ai,smartness,0,0,1
ai,system,0,-1,1
ai,tech,-1,-1,6
ai,tech,-1,0,19
ai,tech,-1,1,4
ai,tech,0,-1,12
ai,tech,0,0,25
ai,tech,0,1,27
ai,tech,1,-1,2
ai,tech,1,0,6
ai,tech,1,1,7
ai,technology,-1,-1,21
ai,technology,-1,0,81
ai,technology,-1,1,28
ai,technology,0,-1,33
ai,technology,0,0,101
ai,technology,0,1,158
ai,technology,1,-1,5
ai,technology,1,0,24
ai,technology,1,1,39
algorithm,ai,-1,-1,3
algorithm,ai,-1,0,1
algorithm,ai,0,-1,4
algorithm,ai,0,0,7
algorithm,ai,0,1,2
algorithm,ai,1,-1,2
algorithm,ai,1,0,1
algorithm,automate,-1,-1,1
algorithm,automate,0,-1,1
algorithm,automation,-1,-1,3
algorithm,automation,-1,0,1
algorithm,automation,0,-1,8
algorithm,automation,0,0,15
algorithm,automation,0,1,1
algorithm,automation,1,-1,1
algorithm,automation,1,0,5
algorithm,calculation,-1,0,1
algorithm,calculation,0,-1,1
algorithm,calculus,0,-1,1
algorithm,cod,-1,-1,3
algorithm,cod,0,-1,3
algorithm,cod,0,0,3
algorithm,cod,0,1,1
algorithm,code,-1,-1,190
algorithm,code,-1,0,124
algorithm,code,-1,1,27
algorithm,code,0,-1,491
algorithm,code,0,0,354
algorithm,code,0,1,200
algorithm,code,1,-1,37
algorithm,code,1,0,105
algorithm,code,1,1,75
algorithm,codex,-1,-1,1
algorithm,codex,0,-1,1
algorithm,codex,0,1,3
algorithm,codex,1,1,1
algorithm,complexity,-1,-1,4
algorithm,complexity,0,-1,2
algorithm,computation,-1,-1,4
algorithm,computation,-1,0,6
algorithm,computation,-1,1,2
algorithm,computation,0,-1,3
algorithm,computation,0,0,16
algorithm,computation,0,1,4
algorithm,computation,1,0,4
