cue_word,association_word,cue_valence,associated_valence,weight
ai,advanced,0,0,3
ai,algorithm,-1,-1,1
ai,algorithm,-1,0,3
ai,algorithm,0,-1,1
ai,algorithm,0,0,62
ai,algorithm,0,1,1
ai,algorithm,1,0,5
ai,anxiety,-1,-1,1
ai,automation,-1,-1,17
ai,automation,-1,0,36
ai,automation,0,-1,367
ai,automation,0,0,834
ai,automation,1,-1,5
ai,automation,1,0,5
ai,bias,-1,-1,1
ai,bias,0,-1,8
ai,change,-1,-1,8
ai,change,-1,0,9
ai,change,-1,1,1
ai,change,0,-1,108
ai,change,0,0,64
ai,chat,0,-1,1
ai,chatbot,0,-1,1
ai,chatgpt,-1,-1,2
ai,chatgpt,0,-1,2
ai,chatgpt,0,0,45
ai,chatgpt,0,1,1
ai,chatgpt,1,-1,1
ai,chatgpt,1,0,3
ai,chatgpt,1,1,2
ai,complex,0,-1,4
ai,complexity,0,-1,2
ai,computation,0,0,39
ai,computation,0,1,2
ai,computation,1,0,2
ai,computation,1,1,1
ai,concern,-1,-1,6
ai,concern,0,-1,33
ai,control,-1,-1,7
ai,control,-1,0,5
ai,control,0,-1,50
ai,control,0,0,7
ai,convenience,-1,0,1
ai,convenience,0,0,3
ai,creativity,0,-1,2
ai,creativity,0,0,3
ai,creativity,1,0,1
ai,danger,-1,-1,1
ai,datum,-1,0,6
ai,datum,0,-1,2
ai,datum,0,0,139
ai,datum,0,1,4
ai,datum,1,0,3
ai,datum,1,1,1
ai,decision,0,-1,4
ai,decision,0,0,7
ai,doubt,-1,-1,1
ai,doubt,0,-1,1
ai,efficiency,-1,0,5
ai,efficiency,-1,1,3
ai,efficiency,0,0,110
ai,efficiency,0,1,7
ai,efficient,0,0,4
ai,efficient,0,1,1
ai,ethic,-1,-1,4
ai,ethic,-1,0,2
ai,ethic,0,-1,36
ai,ethic,0,0,14
ai,ethical,0,-1,1
ai,evolution,0,-1,1
ai,evolution,0,0,9
ai,evolve,0,0,1
ai,future,-1,-1,4
ai,future,-1,0,29
ai,future,-1,1,1
ai,future,0,-1,21
ai,future,0,0,776
ai,future,0,1,25
ai,future,1,-1,1
ai,future,1,0,6
ai,future,1,1,4
ai,growth,0,0,8
ai,help,-1,1,1
ai,help,0,0,8
ai,help,0,1,1
ai,help,1,1,1
ai,helpful,0,0,1
ai,helpful,0,1,1
ai,informatic,0,0,11
ai,informatic,1,0,1
ai,innovation,-1,0,2
ai,innovation,0,0,379
ai,innovation,0,1,18
ai,innovation,1,0,2
ai,innovation,1,1,1
ai,intelligence,-1,0,20
ai,intelligence,0,-1,6
ai,intelligence,0,0,630
ai,intelligence,0,1,12
ai,intelligent,0,0,16
ai,job,-1,-1,1
ai,job,0,-1,3
ai,knowledge,0,0,2
ai,learn,-1,-1,1
ai,learn,-1,0,4
ai,learn,0,-1,1
ai,learn,0,0,462
ai,learn,0,1,6
ai,learn,1,0,4
ai,llm,-1,-1,2
ai,llm,0,-1,3
ai,llm,0,0,70
ai,llm,1,-1,1
ai,llm,1,0,5
ai,llm,1,1,2
ai,logic,-1,0,1
ai,logic,0,0,21
ai,machine,-1,-1,1
ai,machine,-1,0,3
ai,machine,0,-1,8
ai,machine,0,0,14
ai,mathematic,0,0,1
ai,model,-1,0,2
ai,model,0,-1,3
ai,model,0,0,37
ai,model,1,-1,1
ai,model,1,0,1
ai,network,0,0,2
ai,neutral,0,-1,2
ai,number,-1,-1,1
ai,number,-1,0,1
ai,number,0,0,1
ai,number,0,1,1
ai,pattern,0,0,3
ai,pattern,0,1,1
ai,pattern,1,0,1
ai,potential,-1,0,1
ai,potential,0,0,5
ai,power,-1,0,14
ai,power,0,-1,4
ai,power,0,0,92
ai,power,0,1,2
ai,powerful,0,0,3
ai,problem,-1,-1,1
ai,problem - solve,0,0,5
ai,problem - solve,0,1,3
ai,problem - solve,1,1,1
ai,progress,0,0,16
ai,revolution,0,0,1
ai,risk,-1,-1,24
ai,risk,0,-1,121
ai,robot,-1,-1,1
ai,robot,0,-1,2
ai,robotic,0,-1,1
ai,science,0,0,8
ai,science,0,1,1
ai,science,1,0,1
ai,smart,-1,0,1
ai,smart,0,0,50
ai,smart,0,1,4
ai,study,-1,0,1
ai,study,0,0,3
ai,success,0,0,2
ai,success,1,0,1
ai,system,0,-1,3
ai,system,0,0,21
ai,system,1,0,1
ai,tech,0,0,2
ai,tech,1,0,1
ai,technology,-1,-1,1
ai,technology,-1,0,32
ai,technology,-1,1,4
ai,technology,0,-1,1
ai,technology,0,0,611
