cue_word,association_word,cue_valence,associated_valence,weight
ai,advanced,0.0,1,1
ai,advanced,1.0,0,2
ai,algorithm,-1.0,-1,1
ai,algorithm,0.0,-1,5
ai,algorithm,0.0,0,150
ai,algorithm,0.0,1,4
ai,algorithm,1.0,-1,24
ai,algorithm,1.0,0,138
ai,algorithm,1.0,1,18
ai,algorithmic,-1.0,0,1
ai,algorithmic,1.0,0,1
ai,artificial,1.0,0,1
ai,assistant,0.0,0,8
ai,assistant,1.0,0,2
ai,automate,0.0,0,1
ai,automation,-1.0,-1,2
ai,automation,-1.0,0,1
ai,automation,0.0,-1,38
ai,automation,0.0,0,109
ai,automation,1.0,-1,17
ai,automation,1.0,0,84
ai,automation,1.0,1,5
ai,autonomous,0.0,0,2
ai,autonomous,1.0,0,2
ai,autonomous,1.0,1,1
ai,autonomy,0.0,-1,1
ai,autonomy,0.0,0,1
ai,autonomy,1.0,0,1
ai,bot,0.0,-1,1
ai,chatgpt,0.0,0,5
ai,chatgpt,0.0,1,1
ai,chatgpt,1.0,0,1
ai,chatgpt,1.0,1,5
ai,code,0.0,0,1
ai,complex,0.0,-1,1
ai,complex,1.0,0,1
ai,computation,0.0,0,6
ai,computation,1.0,0,2
ai,computational,0.0,0,2
ai,computational,1.0,0,1
ai,compute,-1.0,0,1
ai,compute,0.0,0,2
ai,compute,1.0,0,4
ai,controversial,0.0,-1,1
ai,controversial,1.0,-1,1
ai,creativity,0.0,0,2
ai,datum,0.0,0,5
ai,datum,1.0,-1,1
ai,efficient,0.0,0,1
ai,efficient,1.0,0,1
ai,ethic,-1.0,-1,1
ai,ethic,-1.0,0,1
ai,ethic,0.0,-1,16
ai,ethic,0.0,0,11
ai,ethic,1.0,-1,6
ai,ethic,1.0,0,5
ai,fear,-1.0,-1,2
ai,fear,0.0,-1,2
ai,future,-1.0,-1,1
ai,future,-1.0,0,3
ai,future,-1.0,1,1
ai,future,0.0,-1,6
ai,future,0.0,0,198
ai,future,0.0,1,90
ai,future,1.0,-1,17
ai,future,1.0,0,148
ai,future,1.0,1,139
ai,futuristic,0.0,1,1
ai,futuristic,1.0,0,1
ai,futuristic,1.0,1,1
ai,informatic,0.0,0,2
ai,innovate,0.0,1,1
ai,innovate,1.0,0,1
ai,innovation,-1.0,0,1
ai,innovation,-1.0,1,4
ai,innovation,0.0,-1,1
ai,innovation,0.0,0,143
ai,innovation,0.0,1,189
ai,innovation,1.0,-1,5
ai,innovation,1.0,0,55
ai,innovation,1.0,1,316
ai,innovative,0.0,1,6
ai,innovative,1.0,-1,1
ai,innovative,1.0,0,1
ai,innovative,1.0,1,16
ai,intelligence,-1.0,1,3
ai,intelligence,0.0,0,114
ai,intelligence,0.0,1,165
ai,intelligence,1.0,-1,3
ai,intelligence,1.0,0,23
ai,intelligence,1.0,1,395
ai,intelligent,-1.0,1,1
ai,intelligent,0.0,0,62
ai,intelligent,0.0,1,21
ai,intelligent,1.0,0,12
ai,intelligent,1.0,1,53
ai,intuition,0.0,0,1
ai,knowledge,0.0,0,1
ai,learn,-1.0,0,9
ai,learn,-1.0,1,1
ai,learn,0.0,-1,1
ai,learn,0.0,0,234
ai,learn,0.0,1,71
ai,learn,1.0,-1,7
ai,learn,1.0,0,78
ai,learn,1.0,1,266
ai,llm,0.0,0,3
ai,logic,0.0,0,5
ai,logic,1.0,0,2
ai,logic,1.0,1,1
ai,machine,-1.0,-1,13
ai,machine,-1.0,0,4
ai,machine,0.0,-1,158
ai,machine,0.0,0,478
ai,machine,1.0,-1,47
ai,machine,1.0,0,657
ai,machine,1.0,1,29
ai,machine - learn,0.0,-1,2
ai,machine - learn,0.0,0,3
ai,machine - learn,1.0,0,4
ai,machine - learn,1.0,1,3
ai,machine learn,-1.0,0,1
ai,machine learn,0.0,-1,1
ai,machine learn,0.0,0,17
ai,machine learn,0.0,1,2
ai,machine learn,1.0,-1,1
ai,machine learn,1.0,0,16
ai,machine learn,1.0,1,19
ai,machinelearne,1.0,0,1
ai,model,-1.0,0,1
ai,model,0.0,0,4
ai,model,1.0,-1,1
ai,neural,0.0,0,2
ai,neural,1.0,-1,1
ai,neural,1.0,0,1
ai,neural,1.0,1,2
ai,neural network,1.0,0,1
ai,neural network,1.0,1,1
ai,potential,0.0,0,1
ai,research,0.0,0,2
ai,revolutionary,0.0,0,1
ai,revolutionary,1.0,0,1
ai,robot,-1.0,-1,1
ai,robot,0.0,-1,7
ai,robot,0.0,0,21
ai,robot,1.0,-1,4
ai,robot,1.0,0,9
ai,robotic,-1.0,-1,1
ai,robotic,0.0,0,17
ai,robotic,1.0,-1,2
ai,robotic,1.0,0,19
ai,robotic,1.0,1,2
ai,smart,0.0,1,1
ai,system,1.0,0,1
ai,tech,0.0,0,1
ai,tech,1.0,0,1
ai,technological,1.0,0,1
ai,technology,-1.0,-1,1
ai,technology,-1.0,0,8
ai,technology,0.0,-1,5
ai,technology,0.0,0,262
ai,technology,0.0,1,59
ai,technology,1.0,-1,2
ai,technology,1.0,0,200
ai,technology,1.0,1,114
ai,transformative,0.0,1,1
ai,transformative,1.0,0,1
ai,transformative,1.0,1,1
ai,uncertain,0.0,-1,1
algorithm,ai,0.0,0,2
algorithm,ai,1.0,0,1
algorithm,ai,1.0,1,1
algorithm,binary,0.0,-1,1
algorithm,calculation,-1.0,-1,3
algorithm,calculation,0.0,-1,22
algorithm,calculation,0.0,0,42
algorithm,calculation,1.0,-1,4
algorithm,calculation,1.0,0,5
algorithm,calculation,1.0,1,3
algorithm,cod,0.0,0,19
algorithm,cod,0.0,1,4
algorithm,cod,1.0,0,5
algorithm,cod,1.0,1,3
algorithm,code,-1.0,-1,21
algorithm,code,-1.0,0,15
algorithm,code,0.0,-1,237
algorithm,code,0.0,0,849
algorithm,code,0.0,1,67
algorithm,code,1.0,-1,20
algorithm,code,1.0,0,244
algorithm,code,1.0,1,49
algorithm,complex,-1.0,-1,1
algorithm,complex,0.0,-1,5
algorithm,complex,0.0,0,1
algorithm,complex,1.0,-1,1
algorithm,complexity,0.0,-1,9
algorithm,complexity,0.0,0,4
algorithm,complexity,1.0,-1,2
algorithm,complexity,1.0,0,2
algorithm,computation,-1.0,-1,3
algorithm,computation,0.0,-1,19
algorithm,computation,0.0,0,124
algorithm,computation,0.0,1,4
algorithm,computation,1.0,-1,2
algorithm,computation,1.0,0,30
algorithm,computation,1.0,1,15
algorithm,computational,0.0,0,2
algorithm,computational,0.0,1,1
algorithm,computational,1.0,1,2
algorithm,compute,-1.0,-1,1
algorithm,compute,0.0,-1,3
algorithm,compute,0.0,0,9
algorithm,compute,0.0,1,2
algorithm,compute,1.0,0,2
algorithm,compute,1.0,1,2
algorithm,computer,-1.0,0,1
algorithm,computer,0.0,0,1
algorithm,datum,-1.0,0,1
algorithm,datum,0.0,-1,5
algorithm,datum,0.0,0,24
algorithm,datum,0.0,1,1
algorithm,datum,1.0,0,3
algorithm,datum,1.0,1,3
algorithm,design,0.0,0,1
algorithm,design,0.0,1,2
algorithm,design,1.0,-1,1
algorithm,design,1.0,1,1
algorithm,efficiency,-1.0,0,1
algorithm,efficiency,-1.0,1,1
algorithm,efficiency,0.0,-1,5
algorithm,efficiency,0.0,0,161
algorithm,efficiency,0.0,1,77
algorithm,efficiency,1.0,0,23
algorithm,efficiency,1.0,1,54
algorithm,efficient,-1.0,0,1
algorithm,efficient,0.0,0,8
algorithm,efficient,0.0,1,8
algorithm,efficient,1.0,0,1
algorithm,efficient,1.0,1,4
algorithm,formula,-1.0,-1,3
algorithm,formula,0.0,-1,14
algorithm,formula,0.0,0,23
algorithm,formula,1.0,-1,2
algorithm,formula,1.0,0,8
algorithm,formula,1.0,1,1
algorithm,function,0.0,0,1
algorithm,informatic,0.0,0,3
algorithm,informatic,1.0,1,1
algorithm,innovation,0.0,1,1
algorithm,innovative,-1.0,0,1
algorithm,innovative,0.0,1,3
algorithm,logic,-1.0,-1,7
algorithm,logic,-1.0,0,19
algorithm,logic,-1.0,1,1
algorithm,logic,0.0,-1,64
algorithm,logic,0.0,0,718
algorithm,logic,0.0,1,238
algorithm,logic,1.0,-1,15
algorithm,logic,1.0,0,114
algorithm,logic,1.0,1,122
algorithm,logical,0.0,0,5
algorithm,logical,0.0,1,1
algorithm,logical,1.0,1,2
algorithm,math,0.0,0,1
algorithm,mathematic,0.0,0,2
algorithm,mathematic,0.0,1,1
algorithm,mathematic,1.0,0,2
algorithm,mathematic,1.0,1,1
algorithm,method,0.0,-1,2
algorithm,method,0.0,0,18
algorithm,method,0.0,1,1
algorithm,method,1.0,0,7
algorithm,method,1.0,1,2
algorithm,methodical,1.0,0,1
algorithm,methodology,0.0,0,1
algorithm,model,0.0,0,7
algorithm,model,0.0,1,2
algorithm,optimization,-1.0,-1,1
algorithm,optimization,-1.0,0,1
algorithm,optimization,0.0,-1,4
algorithm,optimization,0.0,0,44
algorithm,optimization,0.0,1,21
algorithm,optimization,1.0,0,10
algorithm,optimization,1.0,1,12
algorithm,optimize,-1.0,0,1
algorithm,optimize,0.0,-1,1
algorithm,optimize,0.0,0,4
algorithm,optimize,0.0,1,1
algorithm,optimize,1.0,1,1
algorithm,order,0.0,0,1
algorithm,pattern,-1.0,-1,13
algorithm,pattern,-1.0,0,1
algorithm,pattern,0.0,-1,92
algorithm,pattern,0.0,0,263
algorithm,pattern,0.0,1,1
algorithm,pattern,1.0,-1,22
algorithm,pattern,1.0,0,49
algorithm,pattern,1.0,1,4
algorithm,pattern - recognition,0.0,0,1
algorithm,precision,0.0,0,2
algorithm,precision,0.0,1,1
algorithm,problem,-1.0,-1,3
algorithm,problem,0.0,-1,9
algorithm,problem,0.0,0,5
algorithm,problem - solve,0.0,-1,3
algorithm,problem - solve,0.0,0,18
algorithm,problem - solve,0.0,1,6
algorithm,problem - solve,1.0,-1,1
algorithm,problem - solve,1.0,0,5
algorithm,problem - solve,1.0,1,3
algorithm,problem solve,0.0,1,1
algorithm,procedure,-1.0,-1,3
algorithm,procedure,0.0,-1,33
algorithm,procedure,0.0,0,94
algorithm,procedure,1.0,-1,2
algorithm,procedure,1.0,0,35
algorithm,procedure,1.0,1,3
algorithm,process,-1.0,-1,15
algorithm,process,-1.0,0,2
algorithm,process,0.0,-1,176
algorithm,process,0.0,0,457
algorithm,process,0.0,1,2
algorithm,process,1.0,-1,36
algorithm,process,1.0,0,129
algorithm,process,1.0,1,11
algorithm,program,0.0,-1,1
algorithm,program,0.0,0,1
algorithm,programming,0.0,0,1
algorithm,recursion,0.0,-1,1
algorithm,routine,0.0,-1,4
algorithm,routine,0.0,0,5
algorithm,routine,1.0,-1,2
algorithm,routine,1.0,0,1
algorithm,rule,0.0,0,1
algorithm,sequence,0.0,0,4
algorithm,sequence,1.0,-1,1
algorithm,solution,-1.0,-1,4
algorithm,solution,-1.0,0,4
algorithm,solution,0.0,-1,3
algorithm,solution,0.0,0,213
algorithm,solution,0.0,1,111
algorithm,solution,1.0,-1,3
algorithm,solution,1.0,0,24
algorithm,solution,1.0,1,88
algorithm,solve,0.0,0,4
algorithm,solve,0.0,1,1
algorithm,step,0.0,-1,1
algorithm,structure,-1.0,0,1
algorithm,structure,0.0,-1,6
algorithm,structure,0.0,0,40
algorithm,structure,0.0,1,1
algorithm,structure,1.0,0,6
algorithm,system,0.0,-1,1
algorithm,system,0.0,0,7
algorithm,systematic,-1.0,-1,1
algorithm,systematic,0.0,0,7
algorithm,systematic,1.0,0,5
algorithm,variable,0.0,-1,1
anxiety,challenge,-1.0,0,1
anxiety,dread,-1.0,-1,1
anxiety,exam,-1.0,-1,4
anxiety,exam,-1.0,0,1
anxiety,failure,-1.0,-1,11
anxiety,fear,-1.0,-1,811
anxiety,fear,-1.0,0,3
anxiety,fear,-1.0,1,2
anxiety,fear,0.0,-1,1
anxiety,fearful,-1.0,-1,1
anxiety,grade,-1.0,-1,1
anxiety,homework,-1.0,-1,2
anxiety,homework,-1.0,0,2
anxiety,intense,-1.0,-1,1
anxiety,nerve,-1.0,-1,6
anxiety,nervous,-1.0,-1,336
anxiety,nervous,-1.0,0,2
anxiety,nervousness,-1.0,-1,832
anxiety,nervousness,-1.0,0,7
anxiety,nervousness,-1.0,1,1
anxiety,number,-1.0,-1,1
anxiety,overload,-1.0,-1,1
anxiety,overthinke,-1.0,-1,1
anxiety,overwhelm,-1.0,-1,19
anxiety,overwhelmed,-1.0,-1,1
anxiety,panic,-1.0,-1,226
anxiety,panic,0.0,-1,1
anxiety,pressure,-1.0,-1,92
anxiety,pressure,-1.0,0,9
anxiety,problem - solve,-1.0,0,1
anxiety,professor,-1.0,0,1
anxiety,stress,-1.0,-1,1958
anxiety,stress,-1.0,0,4
anxiety,stress,0.0,-1,2
anxiety,stressful,-1.0,-1,20
