cue_word,association_word,cue_valence,associated_valence,weight
ai,adaptive,-1,0,1
ai,adaptive,0,0,5
ai,advance,0,0,2
ai,advanced,-1,0,1
ai,advanced,0,-1,1
ai,advanced,0,0,15
ai,advanced,0,1,1
ai,advancement,0,0,10
ai,advancement,0,1,2
ai,advancement,1,1,1
ai,algorithm,-1,-1,10
ai,algorithm,-1,0,2
ai,algorithm,-1,1,1
ai,algorithm,0,-1,48
ai,algorithm,0,0,272
ai,algorithm,0,1,3
ai,algorithm,1,-1,5
ai,algorithm,1,0,26
ai,algorithm,1,1,6
ai,anxiety,0,-1,1
ai,assist,0,0,1
ai,automate,0,-1,2
ai,automation,-1,-1,38
ai,automation,-1,0,10
ai,automation,0,-1,193
ai,automation,0,0,270
ai,automation,1,-1,11
ai,automation,1,0,23
ai,automation,1,1,3
ai,autonomy,0,-1,1
ai,bias,0,-1,7
ai,chat,0,0,1
ai,chatbot,0,-1,1
ai,chatbot,0,0,5
ai,chatbot,1,-1,1
ai,chatbot,1,0,1
ai,chatgpt,0,0,6
ai,chatgpt,1,0,4
ai,chatgpt,1,1,1
ai,cod,0,0,1
ai,complex,-1,-1,1
ai,complex,0,-1,5
ai,complexity,0,-1,2
ai,computation,-1,-1,2
ai,computation,0,0,2
ai,computer,-1,-1,1
ai,concern,-1,-1,9
ai,concern,0,-1,8
ai,confuse,-1,-1,1
ai,convenience,0,0,1
ai,creativity,0,0,1
ai,datum,-1,-1,2
ai,datum,-1,0,4
ai,datum,0,-1,11
ai,datum,0,0,81
ai,datum,1,-1,1
ai,datum,1,0,3
ai,datum,1,1,2
ai,efficiency,-1,0,1
ai,efficiency,0,0,16
ai,efficiency,0,1,1
ai,efficient,-1,0,1
ai,efficient,0,0,3
ai,ethic,-1,-1,10
ai,ethic,-1,0,1
ai,ethic,0,-1,37
ai,ethic,0,0,12
ai,ethic,1,0,1
ai,ethical,-1,-1,1
ai,ethical,-1,0,2
ai,ethical,0,-1,16
ai,ethical,0,0,6
ai,evolve,0,0,1
ai,future,-1,-1,4
ai,future,-1,0,12
ai,future,0,-1,28
ai,future,0,0,142
ai,future,0,1,6
ai,future,1,-1,1
ai,future,1,0,15
ai,future,1,1,4
ai,futuristic,0,1,1
ai,helpful,0,0,6
ai,history,-1,-1,1
